Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,46.000000,47.450001,45.900002,46.849998,46.849998,1150526
2019-12-26,47.099998,50.650002,46.849998,49.299999,49.299999,1324320
2019-12-27,49.549999,50.799999,48.500000,49.599998,49.599998,1030892
2019-12-30,49.799999,50.000000,47.750000,49.799999,49.799999,773098
2020-01-02,49.349998,50.200001,47.549999,48.250000,48.250000,878499
2020-01-03,48.250000,49.450001,46.500000,48.450001,48.450001,595355
2020-01-06,48.400002,48.700001,47.000000,48.400002,48.400002,719237
2020-01-07,48.349998,49.000000,46.900002,47.549999,47.549999,901950
2020-01-08,47.500000,47.500000,46.000000,46.200001,46.200001,1176557
2020-01-09,46.549999,48.500000,46.049999,48.200001,48.200001,1768352
2020-01-10,48.500000,49.500000,47.700001,48.349998,48.349998,541756
2020-01-13,48.099998,48.849998,47.349998,47.500000,47.500000,502599
2020-01-14,48.000000,48.000000,45.700001,46.049999,46.049999,934911
2020-01-15,46.349998,47.349998,44.599998,46.400002,46.400002,777580
2020-01-16,46.500000,47.150002,45.750000,46.900002,46.900002,818536
2020-01-17,47.099998,49.250000,46.900002,48.400002,48.400002,1260205
2020-01-20,48.400002,49.500000,48.150002,49.299999,49.299999,266683
2020-01-21,49.299999,49.500000,46.549999,46.799999,46.799999,972761
2020-01-22,46.299999,48.500000,45.750000,48.349998,48.349998,514138
2020-01-23,48.349998,48.400002,46.400002,46.549999,46.549999,903039
2020-01-24,46.400002,46.900002,44.799999,45.000000,45.000000,736876
2020-01-27,44.750000,45.450001,42.799999,45.000000,45.000000,587317
2020-01-28,45.099998,47.250000,45.099998,46.599998,46.599998,696488
2020-01-29,47.900002,47.900002,45.000000,45.200001,45.200001,433443
2020-01-30,45.000000,45.950001,43.799999,45.700001,45.700001,975496
2020-01-31,45.750000,46.250000,44.299999,45.000000,45.000000,222828
2020-02-03,46.049999,48.450001,44.349998,48.299999,48.299999,903360
2020-02-04,48.299999,49.950001,45.549999,46.900002,46.900002,939972
2020-02-05,47.250000,47.450001,45.799999,46.299999,46.299999,391954
2020-02-06,47.799999,47.799999,45.950001,46.950001,46.950001,409269
2020-02-07,46.900002,47.799999,45.500000,47.000000,47.000000,631757
2020-02-10,46.950001,47.299999,46.000000,46.500000,46.500000,216098
2020-02-11,46.000000,46.599998,44.900002,45.400002,45.400002,595373
2020-02-12,47.000000,47.000000,44.450001,45.450001,45.450001,349512
2020-02-13,44.700001,44.700001,43.000000,44.049999,44.049999,452622
2020-02-14,44.000000,44.650002,41.950001,42.750000,42.750000,1250470
2020-02-17,42.799999,44.099998,42.799999,43.799999,43.799999,226822
2020-02-18,44.150002,44.150002,41.200001,42.250000,42.250000,1042132
2020-02-19,42.400002,43.500000,41.799999,42.099998,42.099998,451857
2020-02-20,42.349998,43.299999,41.750000,42.900002,42.900002,1006451
2020-02-21,43.500000,43.500000,42.099998,42.349998,42.349998,705013
2020-02-26,40.200001,40.650002,39.200001,39.299999,39.299999,890709
2020-02-27,39.250000,40.599998,37.650002,39.349998,39.349998,1030559
2020-02-28,39.900002,39.900002,37.299999,39.450001,39.450001,795172
2020-03-02,40.000000,43.900002,39.150002,43.200001,43.200001,1216320
2020-03-03,43.500000,45.599998,43.400002,44.200001,44.200001,1835450
2020-03-04,44.299999,46.799999,44.299999,46.549999,46.549999,1088832
2020-03-05,46.500000,46.500000,45.099998,45.700001,45.700001,444234
2020-03-06,45.200001,45.200001,43.000000,43.849998,43.849998,711674
2020-03-09,38.000000,40.900002,36.000000,38.000000,38.000000,1698454
2020-03-10,41.150002,41.900002,38.599998,40.650002,40.650002,1810999
2020-03-11,40.299999,40.299999,37.900002,38.599998,38.599998,647255
2020-03-12,36.450001,38.500000,33.500000,36.900002,36.900002,2206921
2020-03-13,37.700001,39.099998,35.799999,37.200001,37.200001,940151
2020-03-16,32.000000,36.750000,32.000000,34.700001,34.700001,1233901
2020-03-17,34.500000,38.000000,33.950001,36.950001,36.950001,916456
2020-03-18,36.000000,36.500000,33.500000,34.900002,34.900002,1278286
2020-03-19,34.849998,37.150002,33.000000,33.599998,33.599998,1388049
2020-03-20,34.400002,36.150002,33.400002,34.349998,34.349998,706843
2020-03-25,37.750000,41.299999,37.750000,40.549999,40.549999,2258266
2020-03-26,41.700001,43.000000,38.500000,38.799999,38.799999,655605
2020-03-27,37.799999,37.799999,35.200001,35.450001,35.450001,1162303
2020-03-30,34.950001,36.400002,34.150002,35.700001,35.700001,316544
2020-04-01,37.299999,38.799999,37.200001,38.400002,38.400002,387979
2020-04-02,38.400002,38.400002,35.849998,37.750000,37.750000,2132956
2020-04-03,37.799999,38.599998,36.799999,38.500000,38.500000,628368
2020-04-06,38.549999,39.799999,38.400002,39.099998,39.099998,314671
2020-04-07,40.000000,40.799999,39.799999,39.849998,39.849998,241179
